분류번호,사무명,사무개요,신청유형,단순/복합,수수료,수수료내역,보관기간,등록일자,적용일자,폐지일자,소관부처,담당부서
1660000-0017,방염처리업(변경·합병)등록(신고),"특정소방대상물의 실내장식물을 방염처리하기 위하여 방염처리업의 등록 신청 또는 변경, 합병을 하고자 할때 신고하는 민원사무입니다.",등록,단순민원,단일 수수료,"신규등록 40,000원, 변경·합병신고 20,000원",10년,2014.11.24,2014.11.25,,국민안전처,소방제도과
1660000-0015,민방위준비명령이행기간연장신청,"민방위 사태를 예방하기 위해서 단독주택 이외의 건축물 및 시설물의 소유자(또는 관리자,점유자)에게 대피시설 또는 대피호의 설치, 물자의 비축 등을 명령하였을 때 그 이행 기간의 연장이 필요할 때 신청하는 민원사무입니다.",승인,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0014,민방위대편입신고(지원),민방위대는 20세가 되는 해의 1월 1일부터 40세가 되는 해의 12월 31일까지의 대한민국 국민인 남자로 지정된 자 외의 남자 및 여자가 지원에 의해 민방위대의 대원이 되고자 할 때 신청하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0013,민방위대편성제외신청,"민방위대 편성 대상자 또는 편성자가 심신장애, 만성허약 등의 사유로 편성을 제외 받고자 할 때, 그리고 지원하여 민방위대원이 된 자가 민방위대 편성에서 제외되고자 할 때에 신청하는 민원사무입니",승인,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0012,민방위대동원유예신청,민방위대원 동원명령을 받은 자가 신체장애로 동원이 불가능하거나 관혼상제· 재해 기타 부득이한 사유가 있을 때에 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0011,민방위교육훈련유예(면제)신청,"민방위 교육훈련 대상자가 질병, 수감, 해외여행 등의 사유로 교육 이수가 불가능한 경우 신청하는 민원사무입니다.",승인,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,민방위과
1660000-0010,구급및구조증명서발급,구급 및 구조수혜를 당한 특정인의 사실근거를 확인해 주기 위하여 발급하는 증명서,증명,단순민원,수수료 없음,수수료 없음,5년,2014.11.24,2014.11.25,,국민안전처,119구조과
1660000-0009,내수면 유선 및 도선 요금 및 운임 (변경)신고,"유선사업자가 승선료 또는 대선료를 정하고자 하는 경우, 도선사업자가 운임을 정하고자 하는 경우나, 이를 변경하고자 하는 때에 신고하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,안전제도과
1660000-0008,내수면 유선 및 도선 안전검사신청,유 ？ 도선사업자는 선박안전법의 적용을 받지 아니하는 유 ？ 도선에 대하여 시 ？ 도지사 또는 해양경찰청장의 안전검사를 받아야 합니다. 이에 따라 신청하는 민원사무입니다.,검사,단순민원,사례별 수수료,,10년,2014.11.24,2014.11.25,,국민안전처,안전제도과
1660000-0007,내수면 유선 및 도선사업 면허(신고),"유선사업 및 도선사업을 하고자 하는 자는 대통령령이 정하는 유 ？ 도선의 규모 또는 영업구역에 따라 그 영업구역이 하천이나 호소인 경우에는 특별시장 ？ 광역시장 또는 도지사의, 그 영업구역이 바다인 경우에는 해양경찰청장의 면허를 받거나 시 ？ 도지사 또는 해양경찰청장에게 신고해야 합니다. 이에 따라 신청하는 민원사무입니다.",면허,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,안전제도과
1660000-0006,내수면 유선 및 도선사업 운항약관 (변경)신고,"유？도선사업자가 대통령령이 정하는 바에 따라 운항약관을 정하여 사업면허의 신청 또는 사업신고시에 시？도지사 또는 해양경찰청장에게 신고하거나, 이를 변경하고자 하는 경우에 신청하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,안전제도과
1660000-0005,내수면 유선 및 도선사업 면허(신고) 갱신신청,면허 또는 신고의 유효기간이 지난 후 계속하여 사업을 하고자 하는 자가 면허를 갱신 받거나 신고를 갱신하기 위한 민원사무입니다.,면허,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,안전제도과
1660000-0004,내수면 유선 및 도선사업 면허(신고)사항 변경신청,유 ？ 도선사업의 면허를 받거나 신고를 한 자가 면허 또는 신고사항을 변경하고자 할 때에는 변경신청 ？ 신고서에 사업면허증이나 사업신고필증과 그 변경내용을 증명할 수 있는 서류를 첨부하여 관할 시 ？ 도지사 또는 해양경찰청장에게 제출하는 민원사무입니다.,면허,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,안전제도과
1660000-0003,내수면 유선 및 도선사업 휴업(폐업·운항휴지) 신고,"유.도선사업자가 휴업, 폐업 또는 운항을 휴지하고자 할 때에는 행정자치부령 또는 해양수산부령이 정하는 바에 따라 미리 관할 시 ？ 도지사 또는 해양경찰청장에게 신고하는 민원사무입니다. ※ 이 민원의 휴업·폐업신고서는 부가가치세법 시행령 제10조제1항에 의거 세무서에 제출하는 휴업·폐업신고서와 함께 세무서에 제출할 수 있습니다",신고,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,안전제도과
1660000-0002,민방위대원 부상자 치료신청,민방위대원으로서 동원되어 임무수행 중 또는 교육훈련통지서를 받고 교육훈련 중 상이를 입은 자와 사망(상이로 인하여 사망한 경우를 포함함)한 자의 유족에 대하여는 대통령령이 정하는 바에 따라 국가유공자등예우 및 지원에 관한 법률을 적용하여 보상 또는 가료를 신청하는 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,10년,2014.11.24,2014.11.25,,국민안전처,민방위과
1613000-0044,부지·시설·건축물 양도신고,산학연 클러스터 입주자가 부지·시설·건축물 등 양도시 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,10년,2016.04.26,2016.05.31,,국토교통부,지원정책과
1613000-0043,입주 변경승인 신청,혁신도시 산학연 클러스터 부지 입주 변경시 사전 변경 승인 신청을 하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,10년,2016.04.26,2016.05.31,,국토교통부,지원정책과
1613000-0042,입주 승인 신청,혁신도시 산학연 클러스터에 입주하고자 하는 사업자가 입주전 시도지사에게 승인 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,10년,2016.07.07,2016.07.07,,국토교통부,지원정책과
1613000-0041,화물자동차 운송사업 임시허가,운송사업자의 귀책사유로 운송사업 허가 취소 시 불법행위와 관련이 없는 화물자동차의 위수탁차주가 임시허가 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,"기본 14,000원, (총 차량대수-1)*2,000원 추가",10년,2016.02.03,2016.02.29,,국토교통부,물류산업과
1613000-0040,주거급여 제공(변경) 신청,"국가, 지방자치단체에서 생활이 어려운 자에게 지급하는 주거급여를 지급받고자 하는 자가 시장, 군수, 구청장에게 복지대상자 보장급여(변경)를 신청하는 민원입니다.",제출,단순민원,수수료 없음,수수료 없음,10년,2015.07.31,2015.07.01,,국토교통부,주거복지기획과
1613000-0039,외국인 국제항공운송사업 허가,외국항공사가 여객 또는 화물 운송사업을 하기 위해 허가를 신청하는 민원사무입니다.,허가,단순민원,기타,항공법 시행규칙 제328조에서 정하는 금액,10년,2016.03.10,2016.03.23,,국토교통부,국제항공과
1613000-0038,외국항공기 유상운송 허가,외국 국적 항공기의 사용자가 국내 출도착 여객이나 화물의 유상운송을 하고자하는 경우 국토교통부 장관 허가를 받아야 하는 민원 사무입니다.,허가,단순민원,수수료 없음,수수료 없음,10년,2015.04.09,2015.04.10,,국토교통부,국제항공과
1613000-0037,건설기술용역업 법인합병 신고,건설기술용역업자가 법인간 합병(분할합병 포함)을 하려는 경우에는 그 대표자와 합병 후에 존속하는 법인 및 합병에 따라 설립되는 법인을 관할 하는 수탁기관에 법인합병 신고를 하여야 합니다.,신고,단순민원,수수료 없음,건설기술 진흥법 시행규칙 제26조제2항에 따른 수수료,10년,2014.07.31,2014.08.08,,국토교통부,기술기준과
1613000-0036,"건설기술용역업 양도, 양수 신고",건설기술용역업자가 영업을 양도하려는 경우에는 양수인과 공동으로 수탁기관에 신고하여야 합니다.,신고,단순민원,기타,건설기술 진흥법 시행규칙 제26조에 따른 수수료,10년,2014.07.31,2014.08.08,,국토교통부,기술기준과
1613000-0035,건설기술용역업 휴업(폐업) 신고,건설기술용역업자는 휴업(폐업)하는 경우에는 그 휴업(폐업)하는 날로부터 1개월 이내에 휴업(폐업)을 증명하는 서류를 첨부하여 수탁기관에 신고하여야 합니다.,신고,단순민원,기타,건설기술 진흥법 시행규칙 제26조제2항에 따른 수수료,10년,2014.07.31,2014.08.08,,국토교통부,기술기준과
1613000-0034,건설기술용역업 등록증 재발급,건설기술용역업자는 건설기술용역업 등록증을 잃어버리거나 헐어 못 쓰게 되어 재발급을 받으려는 경우는 '건설기술용역업 등록증 재발급신청서'를 등록 등 업무 수탁기관에 제출하여야 합니다. 이 경우 헐어서 못 쓰게 되어 건설기술용역업 등록증을 재발급 받으려면 해당 등록증을 첨부하여야 합니다.,등록,단순민원,기타,건설기술 진흥법 시행규칙 제26조제2항에 따른 수수료,10년,2014.07.31,2014.08.08,,국토교통부,기술기준과
1613000-0033,건설기술용역업 (변경) 등록,"건설기술용역업을 수행하려는 자는 전문분야별 요건을 각추어 특별시장, 광역시장, 특별자치시장, 도지사 또는 특별자치도지사에게 등록 또는 변경등록을 하여야 합니다.",등록,단순민원,기타,건설기술 진흥법 시행규칙 제26조제2항에 따른 수수료,10년,2014.10.22,2015.04.25,,국토교통부,기술기준과
1613000-0032,과태료 감경 신청,질서위반행위규제법에 따른 사회적 약자 과태료 감경 신청 업무,확인,단순민원,수수료 없음,수수료 없음,10년,2014.07.30,2014.08.08,,국토교통부,운영지원과
1613000-0031,오피스텔 임차인현황 신고,"임대주택법에 따라 오피스텔을 매입임대주택으로 임대하는 임대사업자는 오피스텔의 임대조건을 신고한 날부터 1년이 되는 날이 속하는 달의 말일까지 매년 임차인 현황을 시장,군수,구청장에게 신고하여야 합니다.",신고,단순민원,수수료 없음,수수료 없음,10년,2015.04.09,2015.04.10,,국토교통부,주거복지기획과
